Identifier	Title	Additional Title	Publication Information	Physical Description	Notes	Contents	Subjects	GeographicSubjects	Genre	CreatorNames	ContributorNames
3523690	Homeland.The complete third season[videorecording] /developed for American television by Alex Gansa & Howard Gordon ; producer, Claire Danes ; Twentieth Century Fox Film Corporation ; Teakwood Lane Productions ; Cherry Pie Productions ; Keshet ; Fox 21.	Homeland.The complete 3rd season;Homeland.Season three;Homeland.Season 3	Beverly Hills, Calif. :Twentieth Century Fox Home Entertainment,[2014]	4 videodiscs (approximately 607 min.) :sound, color ;4 3/4 in.	Title from disc surface.;Based on the Israeli television series: Prisoners of War / by Gideon Raff.;Originally broadcast on television as individual episodes by Showtime in 2013.;Language options taken from DVD menu and may differ from container packaging.;Special features: Homeland season three: re-creating the Tower of David and filming in Puerto Rico; The last days: filming the season finale in Morocco; Deleted scenes; Audio commentary on the season finale with Damian Lewis, Alex Gansa, and Joe Hobeck.	As intelligence officers Carrie and Saul search for the truth behind the bombing of CIA headquarters, lines are blurred between friend and foe, and no one can be trusted. While hiding a stunning secret of her own, Carrie helps recruit Brody for a dangerous mission that could offer him a chance at redemption. But when the plan unravels and Brody is targeted deep inside Iran, he must put his life in Carrie's hands.	Women intelligence officers--United States--Drama.;Prisoners of war--United States--Drama.;Prisoners of war--Iraq--Drama.;Terrorists--United States--Drama.		Television programs--United States.;Spy television programs.--lcgft;Action and adventure television programs.--lcgft;Detective and mystery television programs.--lcgft;Television crime shows.--lcgft;Thrillers (Television programs)--lcgft;Television series.--lcgft;Fiction television programs.--lcgft;Video recordings for the hearing impaired.--lcgft	Gansa, Alex,creator,television producer,screenwriter.;Gordon, Howard,1961-creator,television producer.;Bromell, Henry,television producer,screenwriter.;Cary, Alexander,1963-television producer,screenwriter.;Johannessen, Chip,television producer,screenwriter.;Nir, Avi,television producer.;Telem, Ran,television producer.;Raff, Gideon,television producer.;Stiehm, Meredith,1969-screenwriter.;Hall, Barbara,1960-screenwriter.;Bromell, William,screenwriter.;Yoshimura, James,screenwriter.;Harbinson, Patrick,screenwriter.;Stoudt, Charlotte,screenwriter.;Glatter, Lesli Linka,television director.;Johnson, Clark,1954-television director.;Nutter, David,1960-television director.;Franklin, Carl,1949-television director.;Mann, Seith,television director.;Reiner, Jeffrey,television director.;Gordon, Keith,1961-television director.;Minahan, Daniel,television director.;Danes, Claire,1979-actor,television producer.;Lewis, Damian,1971-actor.;Patinkin, Mandy,actor.;Friend, Rupert,actor.;Baccarin, Morena,actor.;Pace, Jackson,1999-actor.;Saylor, Morgan,1994-actor.;Choudhury, Sarita,actor.;Letts, Tracy,1965-actor.;Abraham, F. Murray,actor.;Callery, Sean,1964-composer (expression);Klein, David,1972-director of photography.;Kretschmer, John D.,production designer.;Kerr, Katina le,costume designer.;Silva, Gladyris,costume designer.;Randolph, Stephen K.,costume designer.;Raff, Gideon.Hatufim.	Twentieth Century-Fox Film Corporation,production company.;Teakwood Lane Productions (Firm),production company.;Cherry Pie Productions,production company.;Keshet Broadcasting,production company.;Fox 21 (Firm),production company.;Showtime Networks,production company,broadcaster.;Twentieth Century Fox Home Entertainment, Inc.,film distributor.
3526404	Birdman, or, The unexpected virtue of ignorance[videorecording] /Fox Searchlight Pictures and Regency Enterprises present ; a New Regency/M Productions/Le Grisbi production ; an Alejandro G. Iñárritu film ; produced by Alejandro G. Iñárritu, John Lesher, Arnon Milchan, James W. Skotchdopole ; written by Alejandro G. Iñárritu, Nicolás Giacobone, Alexander Dinelaris, Jr. & Armando Bo ; directed by Alejandro G. Iñárritu.	Birdman;Unexpected virtue of ignorance	Beverly Hills, California :20th Century Fox Home Entertainment,[2015];©2014	1 videodisc (119 minutes) :sound, color ;4 3/4 in.	Originally released as a motion picture in 2014.;Special features: Birdman: all-access ; gallery: Chivo's on-set photography.	A black comedy story of an actor famous for portraying an iconic superhero as he struggles to mount a Broadway play. In the days leading up to opening night, he battles his ego and attempts to recover his family, his career, and himself.	Actors--Drama.;Casting (Performing arts)--Drama.;Superheroes--Drama.;Fathers and daughters--Drama.	Broadway (New York, N.Y.)--Drama.	Dark comedy films.--lcgft;Fiction films.--lcgft;Feature films.--lcgft;Video recordings for the hearing impaired.--lcgft;Video recordings for people with visual disabilities.--lcgft	González Iñárritu, Alejandro,film director,screenwriter,film producer.;Giacobone, Nicolás,screenwriter.;Dinelaris, Alexander,screenwriter.;Bo, Armando,screenwriter.;Lesher, John,film producer.;Milchan, Arnon,film producer.;Skotchdopole, James W.,film producer.;Keaton, Michael,1951-actor.;Galifianakis, Zach,actor.;Norton, Edward,actor.;Riseborough, Andrea,1981-actor.;Ryan, Amy,actor.;Stone, Emma,1988-actor.;Watts, Naomi,1968-actor.;Sánchez, Antonio,1971-composer (expression);Crise, Douglas,1961-editor of moving image work.;Mirrione, Stephen,1969-editor of moving image work.;Lubezki, Emmanuel,director of photography.;Wolsky, Albert,costume designer.	Fox Searchlight Pictures,production company.;Regency Enterprises,production company.;New Regency (Firm),production company.;M Productions,production company.;Le Grisbi Productions,production company.;Twentieth Century Fox Home Entertainment, Inc.,film distributor.
3527775	Particle fever[videorecording] /Abramorama ; Bond/360 ; Anthos Media, LLC in association with PF Productions, LLC presents ; a Mark A. Levinson and David E. Kaplan film ; producers, Andrea Miller and Carla Solomon ; producer, David E. Kaplan ; producer and director, Mark A. Levinson.	Particlefever	[United States] :PF Productions LLC,2013.;[Sausalito, Calif.] :Ro*Co Films Educational,[2014]	1 videodisc (99 min.) :sound, color ;4 3/4 in.	Originally produced as a documentary motion picture in 2013.;[Presented by] Anthos Media, LLC in association with PF Productions, LLC.;Special features: customized video chapters and additional excerpts for classroom discussion.	"""PARTICLE FEVER gives audiences a front row seat to our generation's most significant and inspiring scientific breakthrough as it happens. The film follows six brilliant scientists during the launch of the Large Hadron Collider, marking the start-up of the biggest and most expensive experiment in the history of the planet. 10,000 scientists from over 100 countries join forces in pursuit of a single goal: to recreate conditions that existed just moments after the Big Bang and find the Higgs boson, potentially explaining the origin of all matter. But our heroes confront an even bigger challenge: have we reached our limit in understanding why we exist? PARTICLE FEVER is a celebration of discovery, revealing the very human stories behind the tale of this epic experiment""--Container."	Large Hadron Collider (France and Switzerland);Particle beams, Colliding--Experiments.;Particles (Nuclear physics)--Experiments.;Collisions (Nuclear physics)--Experiments.;Proton-antiproton colliders.;Higgs bosons.;Matter--Constitution.;Supercolliders--France.;Supercolliders--Switzerland.;Particle accelerators.;Nuclear physicists--Interviews.;Standard model (Nuclear physics);Quantum cosmology.;Quantum field theory.;Nuclear physics--International cooperation.;Discoveries in science.		Documentary films.--lcgft;Science films.--lcgft;Feature films.--lcgft;Nonfiction films.--lcgft;Video recordings for the hearing impaired.--lcgft	Levinson, Mark A.drtpro;Kaplan, David E.proive;Miller, Andrea.pro;Solomon, Carla.pro;Murch, Walter,1943-edm;Raschke-Robinson, Claudia.cng;Held, Wolfgang,1963-cng;Miller, Robert(Composer)cmp	Abramorama (Firm);BOND/360 (Firm);Anthos Media.pro;PF Pictures (Firm)pro;Ro*Co Films Educational (Firm)dst
3526410	The overnighters[videorecording] /a film by Jesse Moss ; a Mile End Films production ; Drafthouse Films presents ; produced, directed & photographed by Jesse Moss ; produced by Amanda McBaine ; written by Jesse Moss.	We are the American dream	[Austin, Texas?] :Drafthouse Films,[2014];[New York, New York] :Distributed by Cinedigm Entertainment,[2014];©2014	1 videodisc (102 min.) :sound, color ;4 3/4 in. +1 booklet (unpaged) : color illustrations ; 19 cm.	"Documentary.;""We are the American dream""--Container."	"An intimate portrait of job-seekers desperately chasing the broken American Dream to the tiny oil boom town of Williston, North Dakota. With the town lacking the infrastructure to house the overflow of migrants, a local pastor starts the controversial '""overnighters"" program, allowing down-and-out workers a place to sleep at the church. His well-meaning project immediately runs into resistance with his community, forcing the clergyman to make a decision which leads to profound consequences."	Migrant labor--North Dakota--Williston.;Church work with migrant labor--North Dakota--Williston.;Unemployment--North Dakota--Williston.;Oil industries--North Dakota--Williston.;Job hunting--North Dakota--Williston.;Priests--North Dakota--Williston--Biography.;Lutheran Church--Clergy--Biography.;Immigrants--North Dakota--Williston.	Williston (N.D.)--Economic conditions.	Nonfiction films.--lcgft;Documentary films.--lcgft;Video recordings for the hearing impaired.--lcgft	Moss, Jesse,director,director of photography,filmmaker,screenwriter.;Reinke, Jay,commentator,participant.;McBaine, Amanda,producer.;Edwards, Keegan,participant.;Griffin, T.,composer.	Mile End Films (Firm),production company.;Drafthouse Films,presenter,publisher.;Cinedigm (Firm),film distributor.
3486402	Living thinkers[videorecording] :an autobiography of Black women in the ivory tower /[a film by Roxana Walker-Canton] ; Akosua Productions ; Sisters' Eye on Media ; producer/director, Roxana Walker-Canton.	Autobiography of Black women in the ivory tower	New York, NY :Women Make Movies,[2013];New York, NY :Distributed by Women Make Movies;©2013	1 videodisc (75 min.) :sound, color with black and white sequences ;4 3/4 in	Originally produced as a documentary film in 2013.	"""Living Thinkers ... examines the intersection of race, class and gender for Black women professors and administrators working in U.S. colleges and universities today. Through their diverse narratives, from girlhood to the present, Black women from different disciplines share experiences that have shaped them, including segregated schooling as children, and the trials, disappointments and triumphs encountered in Academia. Though more than 100 years have passed since the doors to higher education opened for Black women, their numbers as faculty members are woefully low and for many still, the image of Black women as intellectuals is incomprehensible. And while overtly expressed racism, sexism and discrimination have declined, their presence is often still often unacknowledged. Through frank and sometimes humorous conversations, this documentary interrogates notions of education for girls and women and the stereotypes and traditions that affect the status of Black women both in and out of the Academy. A perfect companion film for any classroom discussion on the intersection of racism, sexism and/or feminism.""--Container."	African American women college teachers--Biography.;African American women college administrators--Biography.;African American women in higher education.;Women college teachers--United States--Biography.;Women college administrators--United States--Biography.;Women in higher education--United States.;Racism in higher education--United States.;Sexism in higher education--United States.;Universities and colleges--United States.		Documentary films.--lcgft;Nonfiction films.--lcgft;Feature films.--lcgft;Feature films--United States.--local;Biography.--fast--(OCoLC)fst01423686	Walker-Canton, Roxana,film director,film producer,editor of moving image work.;Madison, D. Soyini,interviewee (expression);White, Deborah G.(Deborah Gray),1949-interviewee (expression);Welsh-Asante, Kariamu,interviewee (expression);Aldridge, Delores P.,interviewee (expression);Griffin, Farah Jasmine,interviewee (expression);Dorsey, Allison,1959-interviewee (expression);Dill, Bonnie Thornton,interviewee(expression);Canton, Imani Jean,interviewee (expression);Diakite, Dianne,interviewee (expression);Baker, Brianne,interviewee (expression);Sampson, Carrie,interviewee (expression)	Akosua Productions,production company.;Sisters' Eye on Media,production company.;Women Make Movies (Firm),publisher,film distributor.
3525498	Sandra Bernhard[videorecording] :I'm still here-- damn it! /Palm Pictures ; HBO ; a Funny Business production ; directed by Marty Callner ; produced by Marty Callner ... [et al.] ; written & created by Sandra Bernhard.	I'm still here-- damn it!	New York, NY :Palm Pictures,[2000]	1 videodisc (90 min.) :sd., col. ;4 3/4 in.	Title from container.;Originally filmed as an HBO special in 1999 at Slim's, San Francisco, Calif., this film now contains 30 minutes of additional footage not included in the broadcast version of the show.;Originally produced in 1999.	In a series of monologues, Sandra Bernhard paints a vast, swirling portrait of today's media-saturated landscape. In her commentary on pop culture of the 1990s, Bernhard touches on issues of religion, self-fulfillment, bravery, and motherhood.	Performance art.;Monologues.;Popular culture--United States--Drama.		Televised stand-up comedy routines.--lcgft;Made-for-TV movies.--lcgft;Documentary television programs.--lcgft;Nonfiction television programs.--lcgft	Bernhard, Sandra,screenwriter,creator,performer.;Callner, Marty,television director,television producer.	Palm Pictures.;Home Box Office (Firm)
3534694	La peau douce[videorecording] /Janus Films ; MK2 Diffusion ; scénario original de F. Truffaut et Jean-Louis Richard ; mise en scène, François Truffaut ; FIlms du Carrosse-SEDIF-SIMAR.	English title from container:Soft skin	[Irvington, N.Y.] :the Criterion Collection,[2015];©2015	1 videodisc (117 min.) :sound, black and white ;4 3/4 in. +1 folded insert.	DVD release of the 1964 motion picture.;Special features: Commentary (features screenwriter Jean-Louis Richard and François Truffaut, scholar Serge Toubiana); The complexity of influence (video essay by filmmaker and critic Kent Jones details how director Alfred Hitchcock influenced Truffanut's filmmaking); Monsieur Truffaut meets Mr. Hitchcock (made by film historian Robert Fischer in 1999, 30-min. documentary tells the story behind director Truffaut's famous interview book Hitchcock, from Truffaut's presentation of the idea to filmmaker Alfred Hitchcok in 1962 to the book's publication four years later); Truffaut on The soft skin (excerpt from a December 1965 episode of the French television program Cinéastes de notre temps, Truffaut talks about the origin of the film, shooting its love scenes, and choreographing its finale); new English subtitles translation. Insert includes an essay by critic Molly Haskell.	A celebrated literary scholar, seemingly happily married, embarks on an affair with a gorgeous stewardess, who is captivated by his charm and reputation. As their romance gets serious, the film grows anxious, leading to a wallop of a conclusion.	Adultery--France--Drama.;Intellectuals--France--Drama.;Flight attendants--Drama.;Man-woman relationships--Drama.;Triangles (Interpersonal relations)--Drama.		Romance films.--lcgft;Fiction films.--lcgft;Feature films.--lcgft;Video recordings for the hearing impaired.--lcgft	Truffaut, François,screenwriter,film director.;Richard, Jean-Louis,screenwriter.;Desailly, Jean,actor.;Dorléac, Françoise,actor.;Benedetti, Nelly,actor.;Ceccaldi, Daniel,1927-actor.;Badie, Laurence,actor.;Dumat, Philippe,actor.;Emanuele, Paule,1927-actor.;Garrel, Maurice,actor.;Haudepin, Sabine,1955-actor.;Lacarrière, Dominique,actor.;Lanier, Jean,1913-1999,actor.;Risch, Pierre,actor.;Coutard, Raoul,director of photography.;Delerue, Georges,1925-1992,composer (expression);Bouché, Claudine,editor of moving image work.;Toubiana, Serge,commentator.;Jones, Kent,1964-filmmaker.;Fischer, Robert,1954-filmmaker.;Haskell, Molly,writer of supplementary textual content.	Films du carrosse (Firm),production company.;S.E.D.I.F,production company.;Simar Films,production company.;Janus Films,film distributor.;MK2 Diffusion (Firm),film distributor.;Criterion Collection (Firm),publisher.
3534697	Richard Adams's Watership down[videorecording] /Janus Films ; Nepenthe Productions Limited presents ; written for the screen, produced and directed by Martin Rosen.	Watership down	[Place of publication not identified] :[Publisher not identified],[2015];[Irvington, NY] :The Criterion Collection;©2015	1 videodisc (92 min.) :sound, color ;4 3/4 in. +1 fold-out insert.	Originally released as a motion picture in 1978.;Special features: New high-definition digital restoration; Passion project (new interview with writer, proudcer, and director Martin Rosen about bringing the novel to cinematic life); A movie miracle (new interview with director Guillermo del Toro about what makes the film a unique work of animation art); Defining a style (a 2005 featurette about the fllm's aesthetic); Storyboards; Trailer. Insert includes an essay by comic book writer Gerard Jones.	A faithful big-screen adaptation of Richard Adams's classic British dystopian novel about a community of rabbits seeking safety and happiness after their warren comes under terrible threat.	Rabbits--Drama.		Feature films.--lcgft;Animated films.--lcgft;Action and adventure films.--lcgft;Fiction films.--lcgft;Film adaptations.--lcgft;Video recordings for the hearing impaired.--lcgft	Rosen, Martin,screenwriter,film producer,film director.;Hurt, John,1940-2017,voice actor.;Briers, Richard,voice actor.;Cox, Michael Graham,1938-voice actor.;Bennett, John,1928-2005,voice actor.;Richardson, Ralph,Sir,1902-1983,voice actor.;Cadell, Simon,voice actor.;Rigby, Terence,voice actor.;Kinnear, Roy,1934-1988,voice actor.;O'Callaghan, Richard,voice actor.;Elliott, Denholm,voice actor.;Farleigh, Lynn,1942-voice actor.;Mostel, Zero,1915-1977,voice actor.;Andrews, Harry,1911-1989,voice actor.;Gordon, Hannah,voice actor.;Hawthorne, Nigel,voice actor.;Hordern, Michael,1911-1995,voice actor.;Ackland, Joss,1928-voice actor.;Morley, Angela,composer (expression);Dods, Marcus,musical director.;Williamson, Malcolm,1931-2003,composer (expression);Batt, Mike,composer (expression);Garfunkel, Art,singer.;Rawlings, Terry,1933-film editor.;Guy, Tony,animator.;Adams, Richard,1920-2016.Watership Down.Motion picture adaptation of (work):;Toro, Guillermo del,1964-interviewee (expression);Jones, Gerard,1957-writer of supplementary textual content.	Janus Films,production company.;Nepenthe Productions,presenter,production company.;Criterion Collection (Firm),film distributor.
3531688	Life of Riley /screenplay by Laurent Herbiet and Alex Réval ; directed by Alain Resnais.	Original title:Aimer, boire et chanter;At head of title on container:Jean-Louis Livi presents	[Place of publication not identified] :[Publisher not identified],[2014];New York, NY :Kino Lorber	1 videodisc (108 min.) :sound, color ;4 3/4 in.	"Title from container.;Adapted from ""Life of Riley,"" a play by Alan Ayckbourn.;DVD release of the 2014 motion picture.;Bonus features: Cast interviews ; trailer ; booklet containint essays by Alain Resnais and film critic Glenn Kenny."	George Riley has been diagnosed with terminal cancer. Three couples react to the news with various degrees of emotion. The women are each separately invited to a seaside resort by Riley, and hidden resentments and insecurities in each relationship bubble to the surface, causing a re-evaluation of each couple's love.	Cancer--Patients--Drama.;Man-woman relationships--Drama.;Seaside resorts--Drama.;Foreign films--France.;Motion pictures, French.		Fiction films.--lcgft;Feature films.--lcgft;Comedy films.--lcgft;Film adaptations.--lcgft	Motion picture adaptation of (work):Ayckbourn, Alan,1939-;Resnais, Alain,1922-2014,film director.;Herbiet, Laurent,screenwriter.;Réval, Alex,1922-2014,screenwriter.;Azéma, Sabine,actor.;Girardot, Hippolyte,1955-actor.;Sihol, Caroline,1949-actor.;Vuillermoz, Michel,actor.;Kiberlain, Sandrine,actor.;Dussollier, André,actor.	Kino Lorber, Inc.,film distributor.
3536811	7 cajas[videorecording] /Itaú presenta ; una producción de Maneglia Schembori Realizadores ; en coproducción con Synchro Image, Nephilim Producciónes ; un film de Maneglia-Schembori ; guión original, Juan Carlos Maneglia ; dirigida por Juan Carlos Maneglia y Tana Schembori.	English title on disc label:7 boxes;Siete cajas;Seven boxes	Philadelphia, PA :Breaking Glass Pictures,[2014]	1 videodisc (100 min.) :sound, color ;4 3/4 in.	"DVD release of the 2012 motion picture.;Special features: Behind the scenes of 7 boxes ; the making of 7 boxes ; music video featuring ""Revolver"" ; photo gallery."	"""A seventeen year-old wheelbarrow leader dreams of becoming famous. He receives an unusual proposal to carry seven boxes of unknown content in exchange for a torn half of a {dollar}100 bill. Embarking on the journey seemed easy, but things got complicated along the way."	Teenagers--Paraguay--Drama.;Crime--Paraguay--Drama.;Wheelbarrows--Paraguay--Drama.;Foreign films--Paraguay.;Motion pictures, Spanish.	Asunción (Paraguay)--Drama.	Action and adventure films.--lcgft;Thrillers (Motion pictures)--lcgft;Chase films.--lcgft;Fiction films.--lcgft;Feature films.--lcgft;Feature films--Paraguay.--local;Foreign language films--Spanish.--local;Drama.--fast--(OCoLC)fst01423879	Maneglia, Juan Carlos,film producer,film director,screenwriter.;Schémbori, Tana,film producer,film director.;Franco, Celso,actor.;Sosa, Víctor,actor.;Gonzalez, Lali,actor.	Maneglia Schembori Realizadores,production company.;Synchro Image,production company.;Nephilim Producciónes ,production company.;Breaking Glass Pictures (Firm),film distributor.
3489716	880-01Les chevaux de Dieu[videorecording] /Les Films du nouveaux monde présentent une coproduction Ali n' productions, Les Films du nouveaux monde, Stone Angels, YC Aligator film, Artémis productions ; un film de Nabil Ayouch ; écrit par Jamal Belmahi ; produit par Nabil Ayouch, Pierre-Ange Le Pogam, Eric van Beuren, Patrick Quinet = Yā khayl Allāh / Lī Fīlm dī Nūfū Mūnd tuqaddim ; fīlm li Nabīl ʻAyūsh ; kitābat Jamāl Bilmāḥī ; intāj Nabīl ʻAyūsh, Biyīr Anj Lu Būkām, Īrīk fān Būrin, Bāṭrīk Kīnī.	880-02Yā khayl Allāh;Title on container:Horses of God	New York, NY :Kino Lorber,[2014]	1 videodisc (115 min.) :sound, color ;4 3/4 in.	"Based on the novel Les étoiles de Sibi Moumen by Mahi Binebine.;Originally produced as a motion picture in 2012.;MPAA rating: Not rated.;""Based on true events"" -- Container.;Bonus features: Trailer ; stills gallery."	A fictional account of the lives of the men responsible for the suicide bombings in Casablanca in 2003.;Ten year-old Yachine and his thirteen-year-old brother Hamid live in the slums. Hamid works hard to support his family, but eventually gets in with the wrong crowd and goes to prison.  After years in jail, Hamid returns home an Islamic fundamentalist. He persuades Yachine and his pals to join him. Their spiritual leader trains them and one day he tells them they have been chosen to become martyrs. On May 16th 2003, they commit the deadliest act of terrorism in Morocco's history.	Islamic fundamentalism--Drama.;Martyrs--Drama.;Terrorism--Morocco--Casablanca--Drama.;Suicide bombers--Morocco--Casablanca--Drama.;Brothers--Drama.	Casablanca (Morocco)--Drama.	Historical films.--lcgft;Film adaptations.--lcgft;Fiction films.--lcgft;Feature films.--lcgft;Feature films--Morocco.--local;Feature films--Tunisia.--local;Feature films--Belgium.--local;Feature films--France.--local;Drama.--fast--(OCoLC)fst01423879;Film adaptations.--fast--(OCoLC)fst01710491	Meinier, Malvina.;Demme, Jonathan,1944-2017,presenter.;Ayouch, Nabil,film director,film producer.;Belmahi, Jamal,1970-screenwriter.;Le Pogam, Pierre-Ange,1955-film producer.;Beuren, Eric van,film producer.;Quinet, Patrick,film producer.;Rashīd, ʻAbd al-Ḥakīm,actor.;Rashīd, ʻAbd al-Illah,actor.;Ṣuwīdiq, Ḥamzah,actor.;Binebine, Mahi.Étoiles de Sidi Moumen.Motion picture adaptation of (work):	Stone Angels (Firm),production company.;Ali n' productions,production company.;Films du nouveau monde (Firm : France),production company.;Y.C. Aligator film (Firm),production company.;Artemis Productions,production company.;Kino Lorber, Inc.,film distributor.
3489567	Le dernier des injustes[videorecording] /une production Synecdoche, Le Pacte, Dor Film, Les Films Aleph ; en coproduction avec France 3 Cinéma ; un film de Claude Lanzmann ; produit par David Frenkel, Jean Labadie, Danny Krausz.	English title from subtitles:Last of the unjust	France :Le Pacte :France TV Distribution,[2014]	3 videodiscs (220 minutes) :sound, color ;4 3/4 in.	Bonus features on disc 3 include French and American movie trailers, posters of the film, stills, biography of Claude Lanzmann, and discussion between Cladue Lanzmann and Serge Klasfeld.	"In 1975, in Rome, Claude Lanzmann filmed a series of interviews with Benjamin Murmelstein, the last President of the Jewish Council in the Theresienstadtghetto in Czechoslovakia, the only ""Elder of the Jews"" (according to Nazi terminology) not to have been killed during the war. A rabbi in Vienna, following the annexation of Austria by Germany in 1938, Murmelstein fought bitterly with Adolf Eichmann, week after week for seven years, managing to help around 121,000 Jews leave the country, and preventing the liquidation of the ghetto. 2012. Claude Lanzmann, at 87 - without masking anything of the passage of time on men, but showing the incredible permanence of the locations involved - exhumes these interviews shot in Rome, returning to Theresienstadt, the town ""given to the Jews by Hitler"", a so-called model ghetto, but a ghetto of deceit chosen by Adolf Eichmann to dupe the world. We discover the extraordinary personality of Benjamin Murmelstein: a man blessed with a dazzling intelligence and a true courage, which, along with an unrivaled memory, makes him a wonderfully wry, sardonic and authentic storyteller. Through these three periods, from Nisko in Poland to Theresienstadt, and from Vienna to Rome, the film provides an unprecedented insight into the genesis of the Final Solution. It reveals the true face of Eichmann, and exposes without artifice the savage contradictions of the Jewish Councils."	Concentration camps--Czech Republic--Terezín (Ústecký kraj)--History.;Jewish councils--Czech Republic--Terezín (Ústecký kraj)--Biography.;Holocaust, Jewish (1939-1945)--Czechoslovakia--Personal narratives.;Nazi propaganda.		Documentary films.--lcgft;Nonfiction films.--lcgft;Biography.--fast--(OCoLC)fst01423686;History.--fast--(OCoLC)fst01411628;Personal narratives.--fast--(OCoLC)fst01423843	Lanzmann, Claude.;Frenkel, David(Film producer);Labadie, Jean.;Krausz, Danny.;Murmelstein, Benjamin,1905-1989.	Synecdoche (Firm);Pacte (Firm);DOR Film (Firm);Films Aleph.;France 3 cinéma (Firm);France télévisions distribution.
3490269	Hořící keř[videorecording] /HBO EUROPE uvádí ; Nutprodukce a Etamp Film Production ; a Ivan Trojan ; výkonný producent, Jan Bílek ; producenti HBO, Antony Root, Tereza Polachová ; producenti, Tomáš Hrubý, Pavla Kubečková ; scénár, Štěpán Hulík ; režie, Agnieszka Holland.	English title on container and disc label:Burning bush	New York, NY :Kino Lorber, Inc.,[2014]	2 videodiscs (234 min.) :sound, color with black and white sequences ;4 3/4 in.	Originally broadcast as a TV mini-series in three parts on HBO Europe S.R.O., 2013.;Bonus features: theatrical trailer; stills gallery.	Acclaimed director Agnieszka Holland returns to a pivotal time in modern Czech history: the shocking act of a student of the Charles University's Faculty of Arts, who in protest of the Soviet occupation, set himself on fire in Prague's Wenceslas Square on January 16, 1969, and died four days later. Through the story of defense attorney Dagmar Buresova, who defended Palach's legacy in a doomed lawsuit, the film examines the transformations taking place in Czechoslovak society.	Women lawyers--Czechoslovakia--Drama.	Czechoslovakia--History--1968-1989--Drama.	Historical television programs.--lcgft;Television mini-series.--lcgft;Fiction television programs.--lcgft;Television programs--Czech Republic.--local	Holland, Agnieszka,1948-television director.;Hulík, Štěpán,1984-screenwriter.;Bílek, Jan,television producer.;Polachová, Tereza,1979-television producer.;Root, Antony,television producer.;Hrubý, Tomáš,television producer.;Kubečková, Pavla,television producer.;Pauhofová, Táňa,1983-actor.;Pokorná, Jaroslava,1946-,actor.;Stach, Petr,1974-actor.;Kotek, Vojtěch,1988-actor.;Komasa-Łazarkiewicz, Antoni,composer (expression)	Nut Produkce (Firm),production company.;Etamp Film Production (Firm),production company.;Kino Lorber, Inc.,distributor.
3435862	Grand comme le baobab[videorecording] /directed by Jeremy Teicher ; presented by CyberSmart Learning Institute with Wide Open Camera and Groupe Image et Vie ; story by Jeremy Teicher and Alexi Pappas with the students of École SMB 1 ; producers, Jeremy Teicher, Mala Bawer, Jared Abrams, Chris Collins.	Container title:Tall as the baobab tree	[Bernardsville, N.J.] :CyberSmart Learning Institute,[2014]	1 videodisc (82 min.) :sound, color ;4 3/4 in.	"""Based on true stories."";Originally produced as a motion picture in 2013.;Includes bonus documentary also directed by Jeremy Teicher, This is us : video stories from Senegalese youth, the ""short documentary that inspired Tall as the baobab tree."""	"""In a rural African village poised at the outer edge of the modern world, a teenage girl hatches a secret plan to rescue her 11-year-old sister from an arranged marriage. A ... voice from rural Africa's young generation, Tall as the Baobab Tree poignantly depicts a family struggling to find its footing between tradition and modernity ... where questions of right and wrong are not always black and white""--Container."	Arranged marriage--Senegal--Drama.;Village communities--Senegal--Drama.;Girls--Senegal--Drama.	Senegal--Drama.	Fiction films.--lcgft;Feature films.--lcgft	Teicher, Jeremy,film producer,film director.;Pappas, Alexi,screenwriter.;Bawer, Mala,film producer.;Abrams, Jared,film producer.;Collins, Chris(Cinematographer),film producer,director of photography.;Kâ, Dior,actor.;Kâ, Oumoul,actor.;Dia, Alpha,actor.;Dia, Cheikh,actor.;Diallo, Mohamed,actor.;Dia, Mboural,actor.;Wadley, Jay,composer (expression)	Wide Open Camera (Firm),production company.;CyberSmart Learning Institute,production company,film distributor.;Groupe Image et Vie,production company.
